Control1_2.8	Control1_3.8	Control1_4.1	Control1_7.3	Control2_3.3	Control2_6.5	Control2_7.6	Control2_8.1	Control2_8.9	Control3_3.1	Control3_3.6	Control3_4.9	Control3_5.3	Control3_5.7	Control4_1.8	Control4_2.6	Control4_5.3	Control4_8.1	Control5_1.9	Control5_3.6	Control5_7.4	Control5_9.2	Case1_5.1	Case1_7	Case1_7.6	Case2_4.1	Case2_6.5	Case2_8.4	Case2_8.9	Case3_1.9	Case3_5.9	Case3_7.4	Case3_8.1	Case4_6.4	Case4_6.4	Case4_7.1	Case4_7.6
79178	7.70549425	8.00369025	7.555424	7.70378875	7.80922725	7.8456915	7.767731	7.504824	7.78919475	7.9580665	7.72526575	7.4790095	7.8516005	7.81595	7.63225475	7.789411	7.74459475	7.67827325	7.67362075	7.92852275	7.809663	7.8906595	7.99314575	7.52043325	7.939075	7.7424745	7.786576	7.87225875	8.0217065	7.8876765	7.56000975	7.784875	7.71432475	7.81478325	7.9141295	7.7219395	7.7941845
204	9.47330525	9.3885735	9.73813225	9.47614575	9.91830675	9.800652	9.24293775	9.14292225	9.64947925	10.035016	9.67867175	9.0127945	9.3120925	9.764423	9.6782815	9.32760625	9.52987625	9.7513645	9.65055625	10.030962	9.33313725	9.56432325	9.6840295	9.85611625	10.09741375	9.391274	9.81075975	9.33440975	9.87076825	9.76992525	8.86289175	9.880871	9.322851	9.7790755	9.71641325	9.84958025	10.11478125
84284	7.493853	7.78948425	7.578441	7.5065685	7.43459325	7.5184915	7.427147	7.71186875	7.4446	7.748623	7.27165925	7.4250945	7.509192	7.71410875	7.592679	7.4122275	7.522888	7.66216025	7.66583175	7.95770475	7.709388	7.56617975	7.72995375	7.7859925	7.88314025	7.63765275	7.59574275	7.5657625	7.81724175	7.541603	7.4570935	7.767132	7.41524875	7.4715575	7.9683955	7.6610575	7.5555355
27010	8.08537075	8.22472275	8.2722105	8.35670575	8.4919955	8.57390775	8.6344635	8.23986125	8.37167325	8.39058025	8.660214	8.14967025	8.50868375	8.5302215	8.05114425	8.06585825	8.10125575	8.56468125	8.5869515	8.702132	8.5654255	8.55327	8.58589075	8.087132	8.304873	8.1348165	8.223297	8.2402075	8.54262025	8.0538465	8.058316	8.45925	8.37843125	8.2767125	8.61209875	8.390595	8.70572725
9054	8.3397635	8.6921185	8.79934175	8.80279125	8.5634755	8.67568075	8.7928705	8.43375225	8.63821275	8.79492775	8.60780925	8.69532625	8.920461	8.9193525	8.444528	8.7054495	8.78100825	8.4834085	8.6066355	8.90255025	8.8939285	8.822003	8.75781675	8.27525075	8.797759	8.69199975	8.5477305	8.75979075	8.79818875	8.609677	8.450464	8.882317	8.7111545	8.95502425	8.63697825	8.63987725	8.7058675
249	7.94044725	8.797562	9.0357495	8.38826525	9.33776725	8.5999585	7.1201035	8.84006975	7.4901785	9.3057275	8.3955725	7.95150875	8.20915975	7.72360425	7.53365375	7.61066625	8.1242605	9.18821925	8.5655375	8.653164	8.52818375	9.1856	7.54893375	8.47766025	9.45682625	7.506942	8.213085	7.92764225	9.68153475	9.06347	7.65377825	9.0063825	8.08343375	9.1688825	8.21526775	9.6800705	9.908195
52	11.53107925	11.75718525	11.6519185	11.4401155	11.54021075	11.76907925	11.5080435	11.90915525	11.64613075	11.85450675	12.03774925	11.87543925	11.8234345	11.8106825	11.70710375	11.62554	11.778053	11.49999125	11.7777775	11.6197105	11.977986	11.78721525	11.775556	11.70100675	11.4566555	11.83629925	11.802631	12.0132635	11.5077035	11.548612	11.620931	11.5966305	11.9188015	11.781525	11.8011785	11.3433115	11.85838275
50484	9.303213	9.36906725	9.39448475	9.15630625	9.38336375	9.1255215	8.842742	9.257311	9.6877965	9.1740115	9.71777675	9.5456815	9.2115355	9.2918405	9.23272125	9.65672025	9.1522295	9.226516	9.54673175	8.61331725	8.95493	9.90721075	9.049716	9.529951	9.4716065	9.052794	9.24439675	9.816682	8.67021825	9.40551925	8.91813525	8.59486175	9.77047725	9.741518	9.33040175	9.25046025	9.5409105
7498	7.5514675	7.6170045	7.6131995	7.50197325	7.7703935	7.84953125	7.772975	7.75731775	7.7649705	7.53139225	7.1332465	7.85768825	7.6006455	7.523924	7.676814	8.01765875	7.47564975	7.6284935	7.3626575	7.48610325	7.0546195	7.56834175	7.40964175	7.500858	7.27095275	7.611136	7.32983925	7.298003	7.2185365	7.64607675	8.171208	7.655828	7.699984	7.370916	7.43860075	7.72596	7.16375575
5634	9.6065945	9.6938165	9.70013	9.79340725	9.67889275	9.8599885	9.33255725	9.35103225	9.83227025	9.91916175	9.82546525	9.522734	9.73199375	9.8451725	9.78665525	9.759103	9.64678275	9.817624	9.7200355	9.78373875	9.482755	9.81778325	9.879946	9.74798925	9.87259975	9.7498795	9.6269505	9.54477125	9.51424375	9.68112525	9.5263985	9.470398	9.7290375	9.74178725	9.86054025	9.83166675	9.89532525
5471	8.64638575	8.909922	8.828727	9.068268	8.806802	8.772184	8.270698	8.70968525	8.78362275	8.0743735	8.8045245	8.251384	9.0813	8.731761	9.02317375	8.83655875	9.154834	8.47757925	8.21219225	8.82117675	8.99689925	9.08617375	8.853679	8.6696515	8.57985175	9.0644845	8.7046745	9.359143	8.279677	8.33746675	8.585513	8.123254	8.48509375	8.82647525	8.82401375	8.68982925	8.967595
2618	9.16225575	9.16971675	9.39497725	9.560644	9.1503585	9.50413675	8.8669185	9.05148175	9.59928275	9.258927	9.46902575	9.28614425	9.43869425	9.50557375	9.4073205	9.46620325	8.68454575	9.03377725	9.07525675	9.43357475	9.33170725	9.38207225	9.3670105	8.71481125	9.52815225	9.04722875	9.444213	9.94881425	9.15228575	9.5863965	9.40343125	8.82749075	9.28308625	9.436065	9.40251325	9.2576655	9.75466925
471	9.36609375	9.30419475	9.54742575	9.67509575	9.38547025	9.3850785	9.30597575	9.31467575	9.3536035	9.4603555	9.4603025	9.079451	9.48661975	9.568156	9.630226	9.0533885	9.16881075	9.27320125	9.31580825	9.82387675	9.262547	9.633823	9.44577	9.12286	9.60464625	9.3918755	9.51783925	9.66285525	9.82523975	9.5872255	9.2688505	9.43822875	9.079812	9.58148725	9.51854425	9.41037575	9.563225
158	9.857027	10.01608825	9.75141725	9.93586725	9.66304625	10.064989	9.955542	9.830966	9.79667275	10.22089475	9.79664675	9.357477	10.006607	9.901586	9.93651425	9.8001155	9.8161985	9.93970825	9.9810125	10.0496175	10.18149225	9.82477825	10.03596975	9.93813375	9.817864	9.80251325	9.96252975	10.03781725	9.959892	9.7287345	9.79892225	9.91737425	9.766247	9.6746245	10.01919475	9.88082675	10.124726
10606	9.592732	9.59509425	9.55028975	9.6598175	9.50765475	9.71499375	9.27464925	9.48780875	9.40210625	9.72922625	9.62590675	9.01740575	9.51762825	9.4882495	9.6810635	9.275376	9.297721	9.59030075	9.566947	9.94984875	9.4872025	9.42938575	9.5914005	9.34950925	9.553342	9.60412	9.24883925	9.69988175	9.4001905	9.55659075	9.2309805	9.21460275	9.3538485	9.5379625	9.54657475	9.43067375	10.08519375
5140	9.84611125	10.52140375	9.98945725	10.1969855	10.07208225	10.13981325	10.18761675	10.27122075	10.33490825	10.465272	10.6973885	10.65630775	10.24000225	10.52446725	9.79972625	10.49932575	9.9485615	10.32633125	10.38964975	10.52848	10.23370625	10.5580585	10.094184	10.00244525	10.45175475	10.26211725	10.14516325	10.483957	10.19733675	10.48700325	9.88702225	10.3311205	10.5523195	10.27366325	10.01368975	10.09996125	10.43812375
113	10.6580695	10.33477925	10.4945155	10.97697475	10.82958625	10.88995275	10.30419775	10.2472945	10.64082775	10.6755305	10.41483475	9.504487	10.37192125	10.88734825	10.6742165	9.7787675	10.6679395	10.8164175	10.537477	10.83248925	10.47147725	10.3541085	10.95812375	10.733743	10.68514475	10.07986575	10.6567855	10.58547725	10.63658	10.29514875	9.1436825	10.48174775	9.7565955	10.462042	10.67756825	10.85832325	10.9647575
953	11.1850985	11.17756575	11.36688425	11.589064	11.607595	11.58870425	10.87539025	10.8843125	11.0146565	11.3384285	10.850826	10.24239275	10.71413875	10.85561725	11.0415025	10.06494675	11.365145	11.45956475	11.17104675	11.5305535	10.60378725	11.0891365	10.88694825	11.191093	11.84801775	10.6144485	11.22146975	11.18756825	11.8290595	11.2482805	9.829915	11.20080825	10.59949825	11.62619225	11.544647	11.778786	11.85837475
954	10.195241	9.80922875	10.49544225	10.52240475	10.37927	10.216162	10.33266625	9.67759625	9.9403715	10.0921905	9.70087925	9.4703495	9.85089	10.39580425	10.4009565	9.9735545	9.97922125	10.02055025	9.99245725	10.68402025	10.379206	10.09028325	10.12428625	9.52902525	10.2378675	9.7573275	10.0877625	9.809543	10.502898	10.117575	9.75924675	10.2483055	10.0087605	9.74215425	10.083688	10.43353125	10.3681825
4833	9.55128125	9.42454525	9.69251125	9.99771025	9.238283	9.87126475	9.77027625	10.09001275	9.80934225	10.0830345	9.911286	9.500895	9.615423	10.01393425	9.84909775	9.12999325	10.01170925	9.83799325	9.957022	9.8417055	10.3127845	9.667905	10.00342925	10.1338175	9.575033	9.651356	9.772274	9.93355125	9.9459675	9.587106	9.1899655	9.757403	9.6042	9.8573205	10.16064725	9.66201325	9.856552
204.1	9.47330525	9.3885735	9.73813225	9.47614575	9.91830675	9.800652	9.24293775	9.14292225	9.64947925	10.035016	9.67867175	9.0127945	9.3120925	9.764423	9.6782815	9.32760625	9.52987625	9.7513645	9.65055625	10.030962	9.33313725	9.56432325	9.6840295	9.85611625	10.09741375	9.391274	9.81075975	9.33440975	9.87076825	9.76992525	8.86289175	9.880871	9.322851	9.7790755	9.71641325	9.84958025	10.11478125
159	9.545052	10.05821475	9.825535	9.99611075	9.76881375	9.7375585	9.578378	9.347481	9.825961	9.6865425	10.08537925	9.77636125	9.863266	9.88217375	9.4037425	10.08659425	9.69206125	9.53265175	9.89013325	9.921419	9.49835025	10.14101875	9.52722175	9.465908	9.8761095	9.61718175	9.784334	10.04136575	9.63894575	10.14124575	9.5059745	9.5778565	10.03463	9.884682	9.56715025	9.6244915	10.09850325
271	10.65694725	11.0519655	11.28753425	11.2876475	10.9412035	10.919789	10.45710975	10.873271	10.8878815	11.1022	10.77411975	10.002241	11.050719	10.79779075	10.61079375	10.56073775	11.24552525	11.210239	11.070092	10.90854825	10.9921875	10.8870225	11.09674125	11.07960775	11.068109	10.34982525	10.940913	10.90896025	11.0866465	10.93887525	10.2972145	10.599405	10.59688275	11.23798775	11.033464	11.36230975	11.51334525
22978	10.5211655	11.04008675	10.88075	10.74524175	10.667977	10.81883375	10.43703025	11.02119525	10.66958	11.06073275	11.0398245	11.0144515	10.7841815	10.85902575	10.548379	10.727569	11.22967075	10.96117775	11.08811625	10.81514075	11.0450605	11.0405875	10.75583375	11.059196	11.07866025	10.7342605	10.76752325	11.02902275	10.7414985	10.8648105	10.6230145	10.6365535	11.1769595	11.1561055	10.9258905	10.844719	11.16814375
132	11.1793195	10.8428345	10.817054	11.08769825	10.717657	10.81618375	10.48364375	10.59254175	10.78804225	10.87003325	11.01464375	10.6343315	11.0194225	11.22225525	11.07031475	10.83236425	10.5636225	10.78317725	11.07330925	11.0347435	11.00000075	11.10354625	10.99469225	10.70121825	11.14630475	10.86606025	10.89875425	11.2577945	10.589293	10.92690625	10.4399355	10.572218	10.87530425	10.777624	10.91326175	10.98309775	11.1410765
353	9.7807785	9.5611135	9.82494	9.992894	9.447841	10.07367875	9.8028615	10.0405205	9.820197	10.16847125	9.8716085	9.435043	9.415138	10.074604	10.00861775	9.23981975	9.84434625	10.03016975	9.92826925	10.075307	10.07070075	9.72989875	9.8017925	9.91650925	9.67650125	9.6454075	9.71670225	10.02235925	9.9738365	9.40255525	9.040533	9.7761855	9.522806	9.66104275	10.22819025	9.83133775	10.25826525
100	9.54984275	9.74730775	9.5437895	9.55476675	9.694074	9.9174125	9.7792295	9.23866975	9.62284575	10.327804	9.91550225	9.62022375	9.535968	9.940319	9.6522565	9.39401075	9.5535795	9.6022845	9.71040025	9.75845875	9.59402525	10.0746925	9.7348795	9.619564	9.387019	9.21342125	9.65336	9.869885	10.0192175	9.674371	8.957517	9.917808	9.6274275	9.77888325	9.93502675	9.63336	10.03235925
4860	10.53610675	11.0797745	11.18538425	11.08426	10.56478775	11.15453825	10.9084975	11.17408775	11.16282075	11.16005925	10.67310825	10.57058175	11.01627025	10.47852225	11.09362925	11.02351075	11.4898935	10.91678875	11.056341	10.54558225	10.705988	11.277526	11.0525085	11.57410425	10.49498725	10.35258125	10.78472475	10.8796565	10.882934	10.780329	10.39955525	10.7457825	10.7848895	10.975608	11.44905075	10.89953825	10.4983185
51816	10.059195	9.9707695	10.500927	10.51242975	10.15010975	10.34497675	9.77118275	10.36106125	10.164274	10.318534	9.969032	9.291643	9.679793	10.033927	10.26949875	9.204644	10.82882125	10.5294525	10.21645575	9.929455	9.7649825	9.7349785	10.31158125	10.59154375	10.388607	9.9451565	10.043214	10.3310755	10.23844175	9.8658095	9.01063825	9.777554	9.442631	10.254011	10.2545275	10.5343575	10.51165025
